tier,title,author,user_rating,livelib_rating,url,cover,year,read_date,favorite
S,Книга Балтиморов,Жоэль Диккер,5,"4,3",https://www.livelib.ru/book/1002494672,/covers/1002494672.jpg,2015,2025-01-10,true
S,Мартин Иден,Джек Лондон,5,"4,5",https://www.livelib.ru/book/1005746266,/covers/1005746266.jpg,1909,-,true
S,Сто лет одиночества,Габриэль Гарсиа Маркес,5,"4,1",https://www.livelib.ru/book/1003221869,/covers/1003221869.jpg,1967,-,true
S,Террор,Дэн Симмонс,5,"4,4",https://www.livelib.ru/book/1002771451,/covers/1002771451.jpg,2007,-,true
S,Правда о деле Гарри Квеберта,Жоэль Диккер,5,"4,4",https://www.livelib.ru/book/1002494679,/covers/1002494679.jpg,2012,-,true
S,"Жил-был раз, жил-был два",Франк Тилье,5,"4,2",https://www.livelib.ru/book/1006155346,/covers/1006155346.jpg,2020,2026-04-25,true
A,Конец детства,Артур Кларк,"4,5","4,1",https://www.livelib.ru/book/1003224848,/covers/1003224848.jpg,1953,2026-03-12,false
A,"Проект ""Аве Мария""",Энди Вейер,5,"4,5",https://www.livelib.ru/book/1008937315,/covers/1008937315.jpg,2021,2026-01-07,true
A,Дело Аляски Сандерс,Жоэль Диккер,5,"4,4",https://www.livelib.ru/book/1008862549,/covers/1008862549.jpg,2022,2025-11-27,false
A,Последняя рукопись,Франк Тилье,5,"4,2",https://www.livelib.ru/book/1008963793,/covers/1008963793.jpg,2018,2025-12-17,false
A,Лабиринты,Франк Тилье,5,"4,5",https://www.livelib.ru/book/1017945580,/covers/1017945580.jpg,2022,2026-08-08,false
A,Два брата,Бен Элтон,5,"4,5",https://www.livelib.ru/book/1002034722,/covers/1002034722.jpg,2012,-,true
A,В списках не значился,Борис Васильев,5,"4,7",https://www.livelib.ru/book/1002758104,/covers/1002758104.jpg,1974,-,false
A,КлаТбище домашних жЫвотных,Стивен Кинг,5,"4,4",https://www.livelib.ru/book/1003957162,/covers/1003957162.jpg,1983,-,false
B,Пробуждение Левиафана,Джеймс Кори,4,"4,3",https://www.livelib.ru/book/1002700593,/covers/1002700593.jpg,2011,2023-01-23,false
B,Шелкопряд,Роберт Гэлбрейт,5,"4,2",https://www.livelib.ru/book/1002966640,/covers/1002966640.jpg,2014,2026-04-20,false
B,Комната мертвых,Франк Тилье,5,"3,9",https://www.livelib.ru/book/1002615410,/covers/1002615410.jpg,2005,2024-03,false
B,Дикий зверь,Жоэль Диккер,"3,5","4,1",https://www.livelib.ru/book/1012337903,/covers/1012337903.jpg,2024,2026-01-13,false
B,Дюна,Фрэнк Герберт,5,"4,4",https://www.livelib.ru/book/1003752474,/covers/1003752474.jpg,1965,-,false
B,Финансист,Теодор Драйзер,5,"4,4",https://www.livelib.ru/book/1003933861,/covers/1003933861.jpg,1912,-,false
B,Десять негритят,Агата Кристи,5,"4,6",https://www.livelib.ru/book/1005556180,/covers/1005556180.jpg,1939,-,false
B,Марсианские хроники,Рэй Брэдбери,5,"4,4",https://www.livelib.ru/book/1000494843,/covers/1000494843.jpg,1950,-,false
C,Тринадцать лет пути,Кир Булычёв,5,"4,2",https://www.livelib.ru/book/1013321581,/covers/1013321581.jpg,1984,2025-11-30,false
C,Зов Кукушки,Роберт Гэлбрейт,3,"4,1",https://www.livelib.ru/book/1002966638,/covers/1002966638.jpg,2013,2025-11-17,false
C,На Западном фронте без перемен,Эрих Мария Ремарк,4,"4,6",https://www.livelib.ru/book/1006083226,/covers/1006083226.jpg,1929,-,false
C,Три товарища,Эрих Мария Ремарк,4,"4,5",https://www.livelib.ru/book/1003221872,/covers/1003221872.jpg,1936,-,false
C,Убийства в десятиугольном доме,Юкито Аяцудзи,4,4,https://www.livelib.ru/book/1003628465,/covers/1003628465.jpg,1987,2025-10-30,false
C,Герой нашего времени,Михаил Лермонтов,"3,5","4,3",https://www.livelib.ru/book/1015711852,/covers/1015711852.jpg,1840,2026-03-12,false
C,451° по Фаренгейту,Рэй Брэдбери,5,"4,3",https://www.livelib.ru/book/1005499288,/covers/1005499288.jpg,1953,-,false
C,Адский поезд для Красного Ангела,Франк Тилье,4,"3,9",https://www.livelib.ru/book/1002819180,/covers/1002819180.jpg,2004,2024-03,false
C,Меч Предназначения,Анджей Сапковский,5,"4,6",https://www.livelib.ru/book/1000486798,/covers/1000486798.jpg,1992,-,false
